"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj";"Dispersion";"FC/FCshrink"
"clong_scaffold_7_002240";310,879834578649;1,04508160204615;0,343705545034721;0,00015548431310811;0,00800297023110659;0,0717630392312548;1,16581493961361
"clong_Scaffold2_RagTag_0050_000005";9864,32684216996;1,66383369253086;0,57381917610391;0,00015808945672182;0,0080834092541388;0,196097914236432;1,1849838848403
"clong_scaffold_9_001642";361,203840040143;2,6917999500728;0,964315466592502;0,0001602610171473;0,00817647492090335;0,521033709333871;1,19726242862163
"clong_scaffold_6_001047";572,738767467231;1,10503418707149;0,36803316292568;0,000163556881129345;0,00830818960583891;0,0830976399753628;1,17066438537166
"clong_contig_8639r_pilon_000002";296,637247823615;1,34261041153691;0,453621034480244;0,000168758424809775;0,00847536838645562;0,122272841849498;1,17160489789008
"clong_scaffold_2_001205";2933,82108219879;1,3002109034515;0,441875543644241;0,000171167567169347;0,0085272236620875;0,119206753571369;1,17733785177699
"clong_scaffold_4_003391";317,037295742077;1,45894694635631;0,504791454167286;0,000179432831133397;0,00884428986508154;0,149754177071432;1,1848761662298
"clong_scaffold_9_000574";529,199712326342;1,07027260936246;0,357162796003518;0,000180255846912816;0,00886338161011622;0,078384983051218;1,16695528248565
"g27041";3744,75497365661;1,36018960860964;0,470001961030694;0,000189554536727615;0,00913111318816629;0,13366551230649;1,18306383794905
"clong_scaffold_5_001053";1233,77722900339;2,16509826078619;0,777539871793296;0,00018928405650484;0,00913111318816629;0,346133901023156;1,19708071715414
"clong_scaffold_5_002415";127,640005755922;1,06395402871018;0,358121483359772;0,000193940239004035;0,00926492743414556;0,0705472565186653;1,1710490229046
"clong_scaffold_11_000669";1156,61479465709;1,44328838215899;0,502388879928851;0,000193765052050653;0,00926492743414556;0,150495859892619;1,18400007005459
"clong_scaffold_10_002241";4550,72186956204;1,49842245374079;0,526832688060932;0,000201568358688317;0,00955089178184053;0,16526592865698;1,18866455769306
"clong_scaffold_1_002524";85,014014107567;1,66558270128361;0,594372415538952;0,000207528883744313;0,00971460660022423;0,195331912633072;1,19576151325037
"clong_scaffold_1_000162";1011,12833369525;3,11203332149822;1,17870527433423;0,000213770405731716;0,00992806034956486;0,749577220921051;1,21491763029434
"clong_scaffold_6_000669";54,7837228773808;2,82568816449591;1,06059202829376;0,000218875412220495;0,0100635108010075;0,589291529355394;1,21600319074269
"clong_scaffold_2_000006";2296,66172711167;1,68908937813547;0,607420134403677;0,000222134281356926;0,0101932032658163;0,215741575335134;1,19750072516997
"clong_scaffold_4_000667";305,234123044092;2,192012655269;0,811222762572732;0,000230093065888964;0,0104397446350726;0,367421794403168;1,20761142070861
"g24122";152,444272614103;1,72670654168305;0,627207869506687;0,000236242817238858;0,010610403751085;0,221030461324113;1,20234087079385
"clong_scaffold_3_001984";156,890224764318;2,33207319861798;0,875202809890281;0,000242697047190763;0,0107815703194836;0,410936832708405;1,21576573361316
"clong_Scaffold5_RagTag_0001_000057";207,193280032909;1,09673308744226;0,382226428167403;0,000251816876586321;0,0110122549507157;0,0843337210717029;1,18242475779526
"clong_scaffold_5_000226";1152,7892399249;1,1277013309145;0,398546837683258;0,000272435144840716;0,0116084315837349;0,0967303474165702;1,18835085737873
